CaseID,RequestorID,RequestorType,CaseOwner,CaseType,CaseStatus,TierLevel,Priority,DateReceived,SatisfactionScore,DateClosed
HRHD000001,1107027351,1 - Intern,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-01 00:00:00.000000000,1 - Unsatisfied,2014-01-03 00:00:00.000000000
HRHD000002,1405067642,2 - Regular,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,1 - Low,2014-01-01 03:51:23.307332293,1 - Unsatisfied,2014-01-07 03:51:23.307332293
HRHD000003,1407068885,2 - Regular,3vGwUNjj,Training & Development,Closed,Tier 2,0 - None,2014-01-01 07:42:46.614664586,0 - Unknown,2014-01-06 07:42:46.614664586
HRHD000004,1409070147,4 - Management,nbRWtYc6,Training & Development,Closed,Tier 1,0 - None,2014-01-01 11:34:09.921996879,0 - Unknown,2014-01-06 11:34:09.921996879
HRHD000005,1501072311,1 - Intern,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,1 - Low,2014-01-01 15:25:33.229329173,1 - Unsatisfied,2014-01-05 15:25:33.229329173
HRHD000006,1302053362,4 - Management,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,3 - High,2014-01-01 19:16:56.536661466,0 - Unknown,2014-01-02 19:16:56.536661466
HRHD000007,1305056276,3 - Non-staff,nbRWtYc6,Training & Development,Closed,Tier 1,3 - High,2014-01-01 23:08:19.843993759,0 - Unknown,2014-01-05 23:08:19.843993759
HRHD000008,1111030129,4 - Management,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-02 02:59:43.151326053,0 - Unknown,2014-01-03 02:59:43.151326053
HRHD000009,1401064637,2 - Regular,nbRWtYc6,Training & Development,Closed,Tier 1,2 - Medium,2014-01-02 06:51:06.458658346,1 - Unsatisfied,2014-01-02 06:51:06.458658346
HRHD000010,1204033041,3 - Non-staff,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,1 - Low,2014-01-02 10:42:29.765990639,1 - Unsatisfied,2014-01-07 10:42:29.765990639
HRHD000011,1403065625,3 - Non-staff,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,3 - High,2014-01-02 14:33:53.073322932,0 - Unknown,2014-01-07 14:33:53.073322932
HRHD000012,1012023295,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,1 - Low,2014-01-02 18:25:16.380655226,1 - Unsatisfied,2014-01-07 18:25:16.380655226
HRHD000013,1304055683,2 - Regular,oDoCidPt,Employee Relations,Closed,Tier 1,3 - High,2014-01-02 22:16:39.687987519,1 - Unsatisfied,2014-01-04 22:16:39.687987519
HRHD000014,1209048771,4 - Management,qabMRJqu,Employee Relations,Closed,Tier 2,3 - High,2014-01-03 02:08:02.995319812,3 - Highly satisfied,2014-01-05 02:08:02.995319812
HRHD000015,1307060199,3 - Non-staff,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-03 05:59:26.302652106,3 - Highly satisfied,2014-01-03 05:59:26.302652106
HRHD000016,909015167,4 - Management,qabMRJqu,Employee Relations,Closed,Tier 2,0 - None,2014-01-03 09:50:49.609984399,2 - Satisfied,2014-01-09 09:50:49.609984399
HRHD000017,1204032927,2 - Regular,3vGwUNjj,Training & Development,Closed,Tier 2,0 - None,2014-01-03 13:42:12.917316692,3 - Highly satisfied,2014-01-05 13:42:12.917316692
HRHD000018,1405067064,2 - Regular,3vGwUNjj,Training & Development,Closed,Tier 2,2 - Medium,2014-01-03 17:33:36.224648985,3 - Highly satisfied,2014-01-09 17:33:36.224648985
HRHD000019,1412071660,4 - Management,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-03 21:24:59.531981279,3 - Highly satisfied,2014-01-05 21:24:59.531981279
HRHD000020,1303054580,3 - Non-staff,oDoCidPt,Employee Relations,Closed,Tier 1,3 - High,2014-01-04 01:16:22.839313572,3 - Highly satisfied,2014-01-05 01:16:22.839313572
HRHD000021,1302053044,4 - Management,3vGwUNjj,Training & Development,Closed,Tier 2,3 - High,2014-01-04 05:07:46.146645865,3 - Highly satisfied,2014-01-09 05:07:46.146645865
HRHD000022,1404066622,2 - Regular,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,2 - Medium,2014-01-04 08:59:09.453978159,0 - Unknown,2014-01-04 08:59:09.453978159
HRHD000023,1402065355,3 - Non-staff,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,2 - Medium,2014-01-04 12:50:32.761310452,3 - Highly satisfied,2014-01-05 12:50:32.761310452
HRHD000024,1204032927,4 - Management,nbRWtYc6,Training & Development,Closed,Tier 1,3 - High,2014-01-04 16:41:56.068642745,2 - Satisfied,2014-01-10 16:41:56.068642745
HRHD000025,1011022883,4 - Management,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-04 20:33:19.375975039,2 - Satisfied,2014-01-04 20:33:19.375975039
HRHD000026,1411071481,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-05 00:24:42.683307332,0 - Unknown,2014-01-10 00:24:42.683307332
HRHD000027,1101023540,4 - Management,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-05 04:16:05.990639625,0 - Unknown,2014-01-06 04:16:05.990639625
HRHD000028,1111030129,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-05 08:07:29.297971918,3 - Highly satisfied,2014-01-09 08:07:29.297971918
HRHD000029,1311063114,2 - Regular,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,2 - Medium,2014-01-05 11:58:52.605304212,2 - Satisfied,2014-01-08 11:58:52.605304212
HRHD000030,1205033180,2 - Regular,nbRWtYc6,Training & Development,Closed,Tier 1,3 - High,2014-01-05 15:50:15.912636505,0 - Unknown,2014-01-06 15:50:15.912636505
HRHD000031,1111030244,1 - Intern,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,1 - Low,2014-01-05 19:41:39.219968798,1 - Unsatisfied,2014-01-08 19:41:39.219968798
HRHD000032,1008020942,2 - Regular,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,3 - High,2014-01-05 23:33:02.527301092,0 - Unknown,2014-01-08 23:33:02.527301092
HRHD000033,1307059944,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,3 - High,2014-01-06 03:24:25.834633385,0 - Unknown,2014-01-12 03:24:25.834633385
HRHD000034,1103024456,2 - Regular,oDoCidPt,Employee Relations,Closed,Tier 1,1 - Low,2014-01-06 07:15:49.141965678,3 - Highly satisfied,2014-01-10 07:15:49.141965678
HRHD000035,1010022337,4 - Management,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-06 11:07:12.449297971,0 - Unknown,2014-01-11 11:07:12.449297971
HRHD000036,1012023185,4 - Management,vuo1zJHG,Attrition & Retention,Closed,Tier 1,3 - High,2014-01-06 14:58:35.756630265,1 - Unsatisfied,2014-01-09 14:58:35.756630265
HRHD000037,1009920000,2 - Regular,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,3 - High,2014-01-06 18:49:59.063962558,1 - Unsatisfied,2014-01-07 18:49:59.063962558
HRHD000038,1001268402,3 - Non-staff,vuo1zJHG,Attrition & Retention,Closed,Tier 1,0 - None,2014-01-06 22:41:22.371294851,3 - Highly satisfied,2014-01-12 22:41:22.371294851
HRHD000039,1009919970,4 - Management,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,3 - High,2014-01-07 02:32:45.678627145,3 - Highly satisfied,2014-01-11 02:32:45.678627145
HRHD000040,1499902910,4 - Management,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-07 06:24:08.985959438,2 - Satisfied,2014-01-08 06:24:08.985959438
HRHD000041,1307059937,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,2 - Medium,2014-01-07 10:15:32.293291731,1 - Unsatisfied,2014-01-12 10:15:32.293291731
HRHD000042,1104025179,3 - Non-staff,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,0 - None,2014-01-07 14:06:55.600624024,3 - Highly satisfied,2014-01-11 14:06:55.600624024
HRHD000043,1307059944,4 - Management,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,0 - None,2014-01-07 17:58:18.907956318,1 - Unsatisfied,2014-01-09 17:58:18.907956318
HRHD000044,1401064327,2 - Regular,qabMRJqu,Employee Relations,Closed,Tier 2,2 - Medium,2014-01-07 21:49:42.215288611,1 - Unsatisfied,2014-01-09 21:49:42.215288611
HRHD000045,1302053333,2 - Regular,oDoCidPt,Employee Relations,Closed,Tier 1,2 - Medium,2014-01-08 01:41:05.522620904,0 - Unknown,2014-01-12 01:41:05.522620904
HRHD000046,1107027551,3 - Non-staff,oDoCidPt,Employee Relations,Closed,Tier 1,0 - None,2014-01-08 05:32:28.829953198,2 - Satisfied,2014-01-11 05:32:28.829953198
HRHD000047,1408069503,2 - Regular,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-08 09:23:52.137285491,2 - Satisfied,2014-01-12 09:23:52.137285491
HRHD000048,1312063507,3 - Non-staff,qabMRJqu,Employee Relations,Closed,Tier 2,0 - None,2014-01-08 13:15:15.444617784,3 - Highly satisfied,2014-01-12 13:15:15.444617784
HRHD000049,1209049326,1 - Intern,nbRWtYc6,Training & Development,Closed,Tier 1,3 - High,2014-01-08 17:06:38.751950078,3 - Highly satisfied,2014-01-09 17:06:38.751950078
HRHD000050,1012023010,1 - Intern,nbRWtYc6,Training & Development,Closed,Tier 1,2 - Medium,2014-01-08 20:58:02.059282371,0 - Unknown,2014-01-08 20:58:02.059282371
HRHD000051,1301052902,4 - Management,vuo1zJHG,Attrition & Retention,Closed,Tier 1,0 - None,2014-01-09 00:49:25.366614664,0 - Unknown,2014-01-13 00:49:25.366614664
HRHD000052,1504073313,2 - Regular,3vGwUNjj,Training & Development,Closed,Tier 2,3 - High,2014-01-09 04:40:48.673946957,3 - Highly satisfied,2014-01-12 04:40:48.673946957
HRHD000053,1105025661,1 - Intern,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-09 08:32:11.981279251,3 - Highly satisfied,2014-01-15 08:32:11.981279251
HRHD000054,1304055947,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,3 - High,2014-01-09 12:23:35.288611544,1 - Unsatisfied,2014-01-13 12:23:35.288611544
HRHD000055,1407068885,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,0 - None,2014-01-09 16:14:58.595943837,0 - Unknown,2014-01-12 16:14:58.595943837
HRHD000056,1009919960,2 - Regular,qabMRJqu,Employee Relations,Closed,Tier 2,3 - High,2014-01-09 20:06:21.903276131,2 - Satisfied,2014-01-14 20:06:21.903276131
HRHD000057,1207046956,3 - Non-staff,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,3 - High,2014-01-09 23:57:45.210608424,2 - Satisfied,2014-01-11 23:57:45.210608424
HRHD000058,1106026462,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,3 - High,2014-01-10 03:49:08.517940717,1 - Unsatisfied,2014-01-15 03:49:08.517940717
HRHD000059,1001970770,2 - Regular,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-10 07:40:31.825273010,0 - Unknown,2014-01-15 07:40:31.825273010
HRHD000060,1312063714,1 - Intern,nbRWtYc6,Training & Development,Closed,Tier 1,1 - Low,2014-01-10 11:31:55.132605304,0 - Unknown,2014-01-12 11:31:55.132605304
HRHD000061,706006285,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,2 - Medium,2014-01-10 15:23:18.439937597,0 - Unknown,2014-01-16 15:23:18.439937597
HRHD000062,903013071,3 - Non-staff,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,3 - High,2014-01-10 19:14:41.747269890,3 - Highly satisfied,2014-01-16 19:14:41.747269890
HRHD000063,1403066194,2 - Regular,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,0 - None,2014-01-10 23:06:05.054602184,3 - Highly satisfied,2014-01-15 23:06:05.054602184
HRHD000064,1103024924,4 - Management,3vGwUNjj,Training & Development,Closed,Tier 2,3 - High,2014-01-11 02:57:28.361934477,2 - Satisfied,2014-01-15 02:57:28.361934477
HRHD000065,1111030244,2 - Regular,nbRWtYc6,Training & Development,Closed,Tier 1,0 - None,2014-01-11 06:48:51.669266770,3 - Highly satisfied,2014-01-12 06:48:51.669266770
HRHD000066,1106026572,1 - Intern,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-11 10:40:14.976599063,0 - Unknown,2014-01-17 10:40:14.976599063
HRHD000067,1306057810,2 - Regular,qabMRJqu,Employee Relations,Closed,Tier 2,1 - Low,2014-01-11 14:31:38.283931357,3 - Highly satisfied,2014-01-15 14:31:38.283931357
HRHD000068,1106026474,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,2 - Medium,2014-01-11 18:23:01.591263650,1 - Unsatisfied,2014-01-11 18:23:01.591263650
HRHD000069,1101023679,2 - Regular,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-11 22:14:24.898595943,3 - Highly satisfied,2014-01-16 22:14:24.898595943
HRHD000070,1301052462,4 - Management,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-12 02:05:48.205928237,3 - Highly satisfied,2014-01-16 02:05:48.205928237
HRHD000071,1302053339,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-12 05:57:11.513260530,3 - Highly satisfied,2014-01-16 05:57:11.513260530
HRHD000072,1302053333,2 - Regular,3vGwUNjj,Training & Development,Closed,Tier 2,1 - Low,2014-01-12 09:48:34.820592823,3 - Highly satisfied,2014-01-15 09:48:34.820592823
HRHD000073,1412071660,4 - Management,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,3 - High,2014-01-12 13:39:58.127925117,1 - Unsatisfied,2014-01-16 13:39:58.127925117
HRHD000074,1102024057,3 - Non-staff,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,3 - High,2014-01-12 17:31:21.435257410,3 - Highly satisfied,2014-01-15 17:31:21.435257410
HRHD000075,1405067642,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,1 - Low,2014-01-12 21:22:44.742589703,3 - Highly satisfied,2014-01-12 21:22:44.742589703
